epoch,accuracy,loss,val_accuracy,val_loss
0,0.21220238506793976,2.552785634994507,0.5066666603088379,1.625827670097351
1,0.6104166507720947,1.268617033958435,0.6945833563804626,1.0060386657714844
2,0.7005357146263123,0.9485160708427429,0.7527777552604675,0.7912017107009888
3,0.7357738018035889,0.8288869857788086,0.7770833373069763,0.6818410158157349
4,0.7655952572822571,0.7366651296615601,0.8100000023841858,0.6237487196922302
5,0.7821428775787354,0.6942616105079651,0.745555579662323,0.8276307582855225
6,0.8088095188140869,0.623164176940918,0.8459722399711609,0.5401430130004883
7,0.8199999928474426,0.5792786478996277,0.8390277624130249,0.5356104373931885
8,0.8267261981964111,0.5586903691291809,0.8558333516120911,0.4879487156867981
9,0.8390476107597351,0.5098056197166443,0.8530555367469788,0.49922943115234375
10,0.8446428775787354,0.5039196610450745,0.8261111378669739,0.5698407888412476
11,0.8544642925262451,0.4598079025745392,0.8813889026641846,0.4166075587272644
12,0.8550595045089722,0.46306440234184265,0.871666669845581,0.45145145058631897
13,0.8538095355033875,0.47202348709106445,0.8565278053283691,0.4982373118400574
14,0.8685119152069092,0.41826289892196655,0.8895833492279053,0.40178704261779785
15,0.8386309742927551,0.5470336675643921,0.866527795791626,0.4980984628200531
16,0.871488094329834,0.4122105836868286,0.8586111068725586,0.46587347984313965
17,0.8756547570228577,0.4000661075115204,0.84375,0.5173729658126831
18,0.8803571462631226,0.37313729524612427,0.8812500238418579,0.406643271446228
19,0.8842856884002686,0.36263909935951233,0.8370833396911621,0.6097692847251892
20,0.881428599357605,0.3861277103424072,0.8519444465637207,0.5105894804000854
21,0.8826785683631897,0.36985132098197937,0.8898611068725586,0.40763163566589355
22,0.8895833492279053,0.3495740294456482,0.851805567741394,0.4985044598579407
23,0.8868452310562134,0.3561800718307495,0.8911111354827881,0.38811203837394714
24,0.8920833468437195,0.3325328528881073,0.893750011920929,0.3875286877155304
25,0.889464259147644,0.35517042875289917,0.847777783870697,0.5497158765792847
26,0.8901190757751465,0.3457619249820709,0.8648611307144165,0.4806695878505707
27,0.9022619128227234,0.3076359033584595,0.8718055486679077,0.47343388199806213
28,0.8984524011611938,0.3131243884563446,0.8820833563804626,0.40110498666763306
29,0.9054166674613953,0.29603689908981323,0.8780555725097656,0.4926932454109192
30,0.9015476107597351,0.30316296219825745,0.8955555558204651,0.4046362638473511
31,0.9027976393699646,0.29794973134994507,0.8776388764381409,0.44718605279922485
32,0.8954166769981384,0.31814414262771606,0.8791666626930237,0.4600973427295685
33,0.9058928489685059,0.28393542766571045,0.8729166388511658,0.450019508600235
34,0.9011309742927551,0.2974584400653839,0.8500000238418579,0.6200231313705444
