epoch,accuracy,loss,val_accuracy,val_loss
0,0.23404762148857117,2.538015842437744,0.39569443464279175,2.0011818408966064
1,0.4888095259666443,1.743618130683899,0.632361114025116,1.3529425859451294
2,0.5858333110809326,1.4017654657363892,0.636805534362793,1.1564515829086304
3,0.6483333110809326,1.1891822814941406,0.7049999833106995,1.0232198238372803
4,0.688869059085846,1.0554327964782715,0.747083306312561,0.9018145799636841
5,0.7280356884002686,0.939771294593811,0.7773610949516296,0.8645968437194824
6,0.7454166412353516,0.8719932436943054,0.777222216129303,0.8646089434623718
7,0.7686309814453125,0.7956743240356445,0.7752777934074402,0.815475344657898
8,0.7904762029647827,0.7222081422805786,0.7952777743339539,0.7164129614830017
9,0.805476188659668,0.6737697720527649,0.8266666531562805,0.7367980480194092
10,0.8229761719703674,0.626657247543335,0.8186110854148865,0.6749197840690613
11,0.8323809504508972,0.5814501643180847,0.8166666626930237,0.6637228727340698
12,0.8407142758369446,0.5516881346702576,0.8263888955116272,0.6639975905418396
13,0.8569047451019287,0.49437302350997925,0.8491666913032532,0.646539568901062
14,0.8632737994194031,0.47301357984542847,0.8433333039283752,0.6235653758049011
15,0.8761309385299683,0.4315330982208252,0.8520833253860474,0.5684077143669128
16,0.8816666603088379,0.4067595303058624,0.862500011920929,0.5849098563194275
17,0.8929761648178101,0.3779459297657013,0.8498610854148865,0.5946699380874634
18,0.903333306312561,0.34911540150642395,0.82833331823349,0.6650326251983643
19,0.9129166603088379,0.3211428225040436,0.8722222447395325,0.5749388337135315
20,0.9168452620506287,0.3001590073108673,0.8602777719497681,0.6795057058334351
21,0.9207738041877747,0.29040345549583435,0.8609722256660461,0.6539186835289001
22,0.9309523701667786,0.27212727069854736,0.870555579662323,0.6488389372825623
23,0.9379761815071106,0.24433599412441254,0.8641666769981384,0.6369240283966064
24,0.9438095092773438,0.21434390544891357,0.8784722089767456,0.5679337382316589
25,0.9485714435577393,0.2043403536081314,0.8590278029441833,0.6555541753768921
26,0.9501785635948181,0.2120296061038971,0.8766666650772095,0.6082263588905334
27,0.9589880704879761,0.18446752429008484,0.8659722208976746,0.6242737770080566
28,0.9631547331809998,0.16589514911174774,0.8731944561004639,0.6337170004844666
29,0.9659523963928223,0.15147706866264343,0.8683333396911621,0.6599200367927551
30,0.9663095474243164,0.15059593319892883,0.8780555725097656,0.6630542278289795
31,0.9732738137245178,0.12876076996326447,0.8702777624130249,0.6841118931770325
32,0.9724404811859131,0.12440967559814453,0.8686110973358154,0.695274293422699
33,0.9746428728103638,0.13793352246284485,0.8744444251060486,0.6721094846725464
34,0.9749404788017273,0.12041859328746796,0.8777777552604675,0.6990739703178406
